svcc_smallbank;NoFalseNegatives;100;1000000;1;0;2066;2060;859803;140197;0;0;0;0;1582;488;0;106;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;100;1000000;5;0;2874;13594;4295062;704938;11498;0;0;0;10250;3276;5;796;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;100;1000000;10;0;4513;37385;8592370;1407630;81145;0;0;0;29359;8653;96;2795;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;100;1000000;20;0;5900;112825;17171156;2828844;511752;0;0;0;87046;26497;3249;15746;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;100;1000000;30;0;9192;262630;25714802;4285198;1194967;0;0;0;165760;50628;42128;81320;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;100;1000000;40;0;13543;519290;34251769;5748231;1761427;0;0;0;246322;74794;182706;252555;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;100;1000000;50;0;17827;846917;42798141;7201859;2215227;0;0;0;316609;96104;406696;505576;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;100;1000000;60;0;21547;1164245;51353148;8646852;2608151;0;0;0;378063;115365;637233;756057;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;10000;1000000;1;0;2048;2046;867018;132982;0;0;0;0;1572;484;0;110;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;10000;1000000;5;0;2756;13077;4300558;699442;800;0;0;0;9914;3178;0;720;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;10000;1000000;10;0;3802;32956;8595399;1404601;5835;0;0;0;26073;6935;5;1818;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;10000;1000000;20;0;4107;78943;17182173;2817827;33590;0;0;0;64613;15105;37;4269;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;10000;1000000;30;0;4936;134076;25768057;4231943;92312;0;0;0;111415;25130;237;7521;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;10000;1000000;40;0;5304;197793;34352242;5647758;186373;0;0;0;164271;36671;1065;13403;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;10000;1000000;50;0;5826;273906;42927857;7072143;304488;0;0;0;224320;53126;4089;23997;0;0;0;0;0;0;0;0
svcc_smallbank;NoFalseNegatives;10000;1000000;60;0;6071;352241;51517017;8482983;479223;0;0;0;278995;62282;14312;42456;0;0;0;0;0;0;0;0
