1,nocc,smallbank,1,522.741252,887801,0
1,nocc,smallbank,5,4432.534577,4437356,0
1,nocc,smallbank,10,16224.40868,8871499,0
1,nocc,smallbank,20,49685.627757,17754004,0
1,nocc,smallbank,30,109355.371721,26657778,0
1,nocc,smallbank,40,182386.351608,35577982,0
1,nocc,smallbank,50,260746.28143,44534055,0
1,nocc,smallbank,60,356599.680195,53502484,0
3,nocc,smallbank,1,577.024315,890538,0
3,nocc,smallbank,5,4261.968811,4439017,0
3,nocc,smallbank,10,13581.808574,8871837,0
3,nocc,smallbank,20,43409.461105,17739483,0
3,nocc,smallbank,30,83746.022276,26617293,0
3,nocc,smallbank,40,115913.641513,35488806,0
3,nocc,smallbank,50,155167.851177,44359857,0
3,nocc,smallbank,60,199622.927554,53233611,0
1,owh,smallbank,1,677.660797,886859,0
1,owh,smallbank,5,6968.141158,4434870,50859
1,owh,smallbank,10,27960.660965,8860316,270686
1,owh,smallbank,20,92820.909457,17683362,1146683
1,owh,smallbank,30,223848.898562,26465355,2780775
1,owh,smallbank,40,366360.225108,35209995,4824618
1,owh,smallbank,50,2963903.265625,35821114,7985868
1,owh,smallbank,60,3600684.269352,20533500,5991797
3,owh,smallbank,1,727.232762,890821,0
3,owh,smallbank,5,5631.017108,4440045,3235
3,owh,smallbank,10,18853.679536,8872233,22481
3,owh,smallbank,20,54021.308647,17742201,110428
3,owh,smallbank,30,102916.380331,26601289,280001
3,owh,smallbank,40,164348.894874,35462238,506623
3,owh,smallbank,50,208490.42892,44321297,795570
3,owh,smallbank,60,268325.947546,53182608,1124767
1,sgt,smallbank,1,776.372846,886694,0
1,sgt,smallbank,5,7017.419106,4434125,15857
1,sgt,smallbank,10,27712.432166,8863717,102932
1,sgt,smallbank,20,89637.358699,17710712,548107
3,sgt,smallbank,1,819.269077,892071,0
3,sgt,smallbank,5,6722.748314,4439038,960
3,sgt,smallbank,10,21503.357099,8874336,7338
3,sgt,smallbank,20,58895.036111,17739924,36814
3,sgt,smallbank,30,114231.289321,26602936,93392
3,sgt,smallbank,40,169655.181781,35471927,199467
3,sgt,smallbank,50,1739464.60825,44344895,2376493
3,sgt,smallbank,60,3600865.987368,43520907,3207789
1,sgt,smallbank,30,238502.326484,26521135,1610902
1,sgt,smallbank,40,2400257.284903,27595704,5213805
1,sgt,smallbank,50,3000518.242731,15028175,3762339
1,sgt,smallbank,60,3600927.30738,10436600,3186153
1,sgt,smallbank,1,297.779553,8907,0
